,Step 2,,,,,,
,Convert raw scores to same scale: 1-100: Higher the better,,,,,,
Max,100,100,100,100,100,100,100
Min,1,1,1,1,1,1,1
,Higher the better,Higher the better,Higher the better,Higher the better,Higher the better,Higher the better,Higher the better
Country,Numbero Health Care EXP,Legatum Health,WHO Performance,Numbero Safety Index,Numbero Purchasing Power ,Proximity to Boise,Adventure index
Albania,26.31675127,66.66113744,65.9,46.86148318,77.10003405,59.65904366,95.05
Argentina,69.80304569,75.39336493,62.05,19.24109768,72.89426188,64.74282744,86.3875
Armenia,39.49441624,68.30331754,70.3,87.70989873,79.29984676,60.07068607,25.75
Australia,88.41928934,83.21327014,79.65,50.3868017,2.16311936,56.77754678,90.1
Austria,85.03553299,81.8056872,92.85,79.51110748,37.95853908,69.33264033,70.3
Azerbaijan,20.54314721,65.46208531,68.1,71.57105521,76.50161757,62.12889813,7.1875
Bangladesh,9.710659898,53.992891,44.45,20.90672983,79.88983484,30.22661123,2.2375
Belgium,83.30456853,84.20379147,85.7,47.34661875,28.53558658,58.01247401,46.7875
Bosnia And Herzegovina,40.30964467,56.78199052,62.6,53.81509311,62.04690959,71.18503119,61.6375
Brazil,45.14517766,61.91706161,58.2,14.87487749,78.25472501,63.15800416,100
Bulgaria,42.74416244,68.8507109,50.5,60.83338778,61.71820194,74.99272349,23.275
Cambodia,27.77969543,59.83175355,14.75,39.24485462,89.48135536,52.86694387,17.0875
Canada,75.31979695,78.46919431,81.85,52.32734401,15.5558488,89.2972973,78.9625
Chile,60.61218274,71.43127962,88.45,31.49885658,71.08215563,77.15384615,49.2625
China,63.78375635,90.12085308,67.55,76.2768703,53.84607526,1,19.5625
Colombia,65.48121827,79.45971564,73.05,27.94119569,77.4203133,61.82016632,55.45
Costa Rica,56.87106599,78.52132701,87.35,35.78422084,68.7222033,73.24324324,87.625
Croatia,60.02030457,72.5521327,69.75,84.08755309,56.75387366,69.12681913,62.875
Cyprus,35.26192893,80.31990521,89,72.65452467,55.33790226,70.36174636,67.825
Czech Republic,84.94619289,80.08530806,56.55,81.19291081,42.29916567,72.31704782,40.6
Denmark,94.30456853,84.33412322,65.35,80.2873244,17.16567342,68.61226611,57.925
Dominican Republic,38.82436548,1,78,23.44560601,83.02520007,44.63409563,76.4875
Ecuador,68.02741117,64.23696682,48.3,29.2995753,72.97011749,63.05509356,35.65
Egypt,21.20203046,49.30094787,77.45,47.50833061,82.94091606,45.35446985,60.4
Estonia,81.20507614,75.60189573,37.85,83.8449853,50.33143198,72.00831601,14.6125
Finland,86.44263959,86.39336493,76.9,79.47876511,24.54895284,60.68814969,66.5875
France,93.70152284,84.02132701,98.9,34.92714799,34.14890175,80.24116424,85.15
Georgia,35.9319797,60.14454976,54.9,82.04998367,80.06683126,55.74844075,77.725
Germany,77.26294416,85.63744076,78.55,63.03266906,14.64558147,80.24116424,41.8375
Greece,43.76040609,74.4028436,95.05,45.30904933,68.89077133,73.24324324,96.2875
Guatemala,63.73908629,51.82938389,46.65,29.10552107,78.59186106,65.73076923,22.0375
Hungary,38.85786802,72.99526066,43.35,68.04573669,56.37459561,70.77338877,33.175
Iceland,65.91675127,88.58293839,86.25,83.58624632,31.61195301,16.84823285,69.0625
India,61.1035533,49.01421801,36.2,50.80725253,36.82070492,55.85135135,34.4125
Indonesia,50.02538071,63.63744076,51.6,48.39774583,79.73812362,22.91995842,51.7375
Ireland,35.80913706,81.5450237,83.5,48.70499837,37.86582666,65.21621622,81.4375
Israel,80.85888325,90.12085308,79.1,70.84335185,39.26494126,51.83783784,5.95
Italy,65.09035533,85.55924171,99.45,48.10666449,52.36267666,71.39085239,98.7625
Japan,94.22639594,100,96.15,86.91751062,24.43938362,69.12681913,59.1625
Jordan,60.50050761,64.28909953,46.1,56.56419471,74.08266644,58.93866944,18.325
Kazakhstan,48.1715736,66.58293839,26.85,37.11025809,71.55414609,44.63409563,1
Kenya,56.40203046,42.62796209,3.2,31.78993793,74.11638004,62.95218295,29.4625
Latvia,56.92690355,66.47867299,34.55,60.63933355,59.240252,60.48232848,12.1375
Lebanon,61.27106599,55.76540284,47.75,47.54067298,74.29337647,20.86174636,10.9
Lithuania,79.02741117,67.28672986,49.95,70.24501797,54.32649413,16.64241164,9.6625
Luxembourg,74.37055838,86.73222749,84.05,65.34514864,20.22518304,76.53638254,43.075
Malaysia,71.35532995,74.79383886,53.8,34.95949036,51.17427209,36.4012474,56.6875
Malta,1,87.0450237,100,52.18180333,63.48816618,70.97920998,28.225
Mexico,76.92791878,63.63744076,66.45,35.7195361,66.60667461,91.97297297,88.8625
Morocco,18.76751269,60.97867299,91.75,46.27932048,73.71181679,55.85135135,65.35
Nepal,43.13502538,41.32464455,47.2,61.80365893,84.41588626,20.55301455,4.7125
Netherlands,84.80101523,88.58293839,90.65,78.29826854,17.31738464,80.54989605,83.9125
New Zealand,78.16751269,82.04028436,57.1,50.74256779,29.58913673,61.82016632,92.575
Pakistan,47.82538071,29.41232227,54.35,55.67477948,80.63996254,45.45738046,3.475
Panama,50.96345178,73.54265403,64.25,52.35968638,73.72024519,49.77962578,45.55
Peru,39.11472081,73.30805687,35.65,14.14717413,77.20960327,46.07484407,52.975
Philippines,65.45888325,55.76540284,31.8,54.38108461,84.34003065,33.10810811,64.1125
Poland,38.08730964,70.31042654,52.15,70.92420778,50.12915035,68.0977131,44.3125
Portugal,76.52588832,76.51421801,93.95,71.89447893,60.88379023,67.99480249,91.3375
Qatar,79.76446701,76.48815166,71.95,100,18.53950281,61.0997921,13.375
Romania,41.45989848,68.98104265,40.05,70.3258739,60.08309212,70.15592516,38.125
Saudi Arabia,51.85685279,68.35545024,95.6,83.06876838,22.64413417,25.38981289,8.425
Singapore,77.37461929,98.67061611,93.4,78.86426005,21.47258641,55.95426195,71.5375
Slovakia,51.62233503,74.87203791,52.7,73.49542633,55.86889154,70.36174636,15.85
Slovenia,64.29746193,83.18720379,67,85.41359033,52.40481866,72.21413721,20.8
South Africa,58.92588832,21.61848341,1,1,35.64072876,44.42827443,50.5
South Korea,100,93.30094787,42.25,80.62691931,32.72450196,47.51559252,30.7
Spain,90.64162437,83.96919431,97.8,66.33159098,36.10429082,72.83160083,97.525
Sri Lanka,75.52081218,75.70616114,64.8,56.62887945,88.3688064,55.54261954,36.8875
Sweden,70.7857868,88.13981043,89.55,44.01535446,21.23659118,58.01247401,72.775
Switzerland,87.22436548,86.60189573,86.8,87.11156485,3.317810318,75.0956341,82.675
Thailand,87.95025381,81.07582938,45,59.94397256,75.271071,51.42619543,93.8125
Trinidad And Tobago,40.74517766,67.39099526,57.65,8.762169226,69.76732505,50.80873181,74.0125
Tunisia,42.33096447,60.27488152,75.8,51.82603724,77.12531926,64.5987526,26.9875
Turkey,72.2822335,69.91943128,82.95,58.37536753,77.61416652,65.83367983,80.2
United Arab Emirates,73.47715736,77.00947867,92.3,98.83567462,1,57.80665281,24.5125
United Kingdom,82.74619289,79.61611374,87.9,47.49215943,22.98127022,69.33264033,48.025
United States,71.56751269,66.9478673,61.5,44.59751715,17.06453261,100,54.2125
Uruguay,67.24568528,77.66113744,73.6,38.581836,77.10846246,62.95218295,31.9375
Vietnam,45.64771574,73.54265403,29.6,48.88288141,77.49616891,54.92515593,39.3625
Cuba,3.747208122,80.21563981,81.3,71.5872264,100,85.59251559,75.25
